Date,Threat_Type,Source_IP,Country,Severity,Status,Attack_Count
2026-01-01,Malware,192.168.1.1,India,High,Blocked,120
2026-01-02,Phishing,192.168.1.2,USA,Medium,Detected,80
2026-01-03,Ransomware,192.168.1.3,China,Critical,Blocked,200
2026-01-04,DDoS,192.168.1.4,Russia,High,Detected,150
2026-01-05,Trojan,192.168.1.5,Germany,Low,Blocked,50
2026-01-06,Spyware,192.168.1.6,India,Medium,Detected,70
2026-01-07,Malware,192.168.1.7,Brazil,High,Blocked,160
2026-01-08,Phishing,192.168.1.8,Japan,Low,Detected,40
2026-01-09,Ransomware,192.168.1.9,USA,Critical,Blocked,220
2026-01-10,DDoS,192.168.1.10,India,High,Detected,140
2026-01-11,Trojan,192.168.1.11,Canada,Medium,Blocked,95
2026-01-12,Spyware,192.168.1.12,France,Low,Detected,60
2026-01-13,Malware,192.168.1.13,India,High,Blocked,175
2026-01-14,Phishing,192.168.1.14,UK,Medium,Detected,88
2026-01-15,Ransomware,192.168.1.15,Russia,Critical,Blocked,260
2026-01-16,DDoS,192.168.1.16,China,High,Detected,180
2026-01-17,Trojan,192.168.1.17,Japan,Low,Blocked,45
2026-01-18,Spyware,192.168.1.18,India,Medium,Detected,75
2026-01-19,Malware,192.168.1.19,USA,High,Blocked,190
2026-01-20,Phishing,192.168.1.20,Germany,Low,Detected,55
2026-01-21,Ransomware,192.168.1.21,Brazil,Critical,Blocked,240
2026-01-22,DDoS,192.168.1.22,India,High,Detected,165
2026-01-23,Trojan,192.168.1.23,France,Medium,Blocked,98
2026-01-24,Spyware,192.168.1.24,Canada,Low,Detected,52
2026-01-25,Malware,192.168.1.25,Russia,High,Blocked,205
2026-01-26,Phishing,192.168.1.26,India,Medium,Detected,92
2026-01-27,Ransomware,192.168.1.27,China,Critical,Blocked,275
2026-01-28,DDoS,192.168.1.28,USA,High,Detected,185
2026-01-29,Trojan,192.168.1.29,UK,Low,Blocked,49
2026-01-30,Spyware,192.168.1.30,Germany,Medium,Detected,68
2026-01-31,Malware,192.168.1.31,India,High,Blocked,210
2026-02-01,Phishing,192.168.1.32,Japan,Low,Detected,44
2026-02-02,Ransomware,192.168.1.33,USA,Critical,Blocked,290
2026-02-03,DDoS,192.168.1.34,Russia,High,Detected,170
2026-02-04,Trojan,192.168.1.35,India,Medium,Blocked,105
2026-02-05,Spyware,192.168.1.36,China,Low,Detected,58
2026-02-06,Malware,192.168.1.37,Brazil,High,Blocked,198
2026-02-07,Phishing,192.168.1.38,Canada,Medium,Detected,86
2026-02-08,Ransomware,192.168.1.39,Germany,Critical,Blocked,255
2026-02-09,DDoS,192.168.1.40,India,High,Detected,172
2026-02-10,Trojan,192.168.1.41,France,Low,Blocked,53
2026-02-11,Spyware,192.168.1.42,USA,Medium,Detected,77
2026-02-12,Malware,192.168.1.43,Russia,High,Blocked,215
2026-02-13,Phishing,192.168.1.44,India,Medium,Detected,99
2026-02-14,Ransomware,192.168.1.45,China,Critical,Blocked,300
2026-02-15,DDoS,192.168.1.46,Japan,High,Detected,188
2026-02-16,Trojan,192.168.1.47,USA,Low,Blocked,47
2026-02-17,Spyware,192.168.1.48,India,Medium,Detected,73
2026-02-18,Malware,192.168.1.49,Germany,High,Blocked,225
2026-02-19,Phishing,192.168.1.50,Brazil,Low,Detected,59
